iter	Passed	Remaining
649	12588	6778
650	12609	6759
651	12628	6740
652	12646	6720
653	12663	6699
654	12681	6679
655	12698	6659
656	12718	6639
657	12740	6621
658	12757	6601
659	12774	6580
660	12791	6560
661	12810	6540
662	12829	6520
663	12848	6501
664	12866	6481
665	12891	6465
666	12909	6445
667	12927	6425
668	12947	6405
669	12968	6387
670	12986	6367
671	13007	6348
672	13029	6330
673	13052	6313
674	13069	6292
675	13087	6272
676	13106	6253
677	13123	6232
678	13142	6213
679	13168	6196
680	13186	6177
681	13204	6156
682	13222	6137
683	13242	6117
684	13265	6100
685	13283	6080
686	13301	6060
687	13320	6040
688	13340	6021
689	13359	6002
690	13381	5983
691	13399	5963
692	13421	5945
693	13445	5928
694	13462	5908
695	13484	5889
696	13507	5872
697	13528	5853
698	13553	5836
699	13582	5821
700	13600	5801
701	13622	5782
702	13642	5763
703	13664	5745
704	13682	5725
705	13698	5704
706	13720	5686
707	13738	5666
708	13756	5646
709	13776	5626
710	13798	5608
711	13817	5589
712	13846	5573
713	13871	5556
714	13894	5538
715	13916	5519
716	13934	5499
717	13952	5479
718	13970	5459
719	13987	5439
720	14010	5421
721	14028	5401
722	14043	5380
723	14061	5360
724	14078	5340
725	14094	5319
726	14112	5299
727	14132	5280
728	14149	5260
729	14167	5240
730	14184	5219
731	14201	5199
732	14221	5180
733	14237	5159
734	14255	5139
735	14272	5119
736	14293	5100
737	14313	5081
738	14332	5061
739	14350	5042
740	14367	5021
741	14381	5000
742	14397	4980
743	14415	4960
744	14438	4942
745	14455	4921
746	14471	4901
747	14488	4881
748	14506	4861
749	14525	4841
750	14543	4822
751	14558	4801
752	14576	4781
753	14593	4761
754	14610	4741
755	14626	4720
756	14646	4701
757	14662	4681
758	14679	4661
759	14697	4641
760	14719	4622
761	14742	4604
762	14758	4584
763	14774	4563
764	14791	4543
765	14807	4523
766	14828	4504
767	14849	4485
768	14864	4465
769	14883	4445
770	14900	4425
771	14919	4406
772	14939	4387
773	14954	4366
774	14970	4346
775	14986	4325
776	14999	4305
777	15018	4285
778	15035	4265
779	15054	4246
780	15072	4226
781	15090	4206
782	15109	4187
783	15126	4167
784	15151	4149
785	15172	4131
786	15190	4111
787	15206	4091
788	15224	4071
789	15241	4051
790	15259	4031
791	15277	4012
792	15295	3992
793	15312	3972
794	15329	3952
795	15345	3932
796	15367	3914
797	15385	3894
798	15403	3874
799	15419	3854
800	15436	3835
801	15453	3815
802	15472	3795
803	15489	3776
804	15504	3755
805	15522	3736
806	15540	3716
807	15555	3696
808	15575	3677
809	15592	3657
810	15609	3637
811	15627	3618
812	15648	3599
813	15678	3582
814	15705	3565
815	15724	3545
816	15741	3525
817	15758	3506
818	15775	3486
819	15795	3467
820	15813	3447
821	15830	3428
822	15847	3408
823	15863	3388
824	15884	3369
825	15905	3350
826	15922	3330
827	15938	3310
828	15955	3291
829	15972	3271
830	15990	3251
831	16009	3232
832	16026	3213
833	16042	3193
834	16058	3173
835	16083	3155
836	16104	3136
837	16123	3116
838	16140	3097
839	16157	3077
840	16175	3058
841	16194	3038
842	16211	3019
843	16231	3000
844	16248	2980
845	16265	2960
846	16282	2941
847	16299	2921
848	16316	2902
849	16334	2882
850	16351	2862
851	16367	2843
852	16385	2823
853	16402	2804
854	16423	2785
855	16444	2766
856	16461	2746
857	16478	2727
858	16497	2707
859	16521	2689
860	16545	2671
861	16563	2651
862	16579	2631
863	16597	2612
864	16616	2593
865	16633	2573
866	16658	2555
867	16680	2536
868	16697	2517
869	16717	2497
870	16731	2478
871	16748	2458
872	16768	2439
873	16785	2419
874	16803	2400
875	16820	2380
876	16837	2361
877	16853	2341
878	16873	2322
879	16891	2303
880	16909	2284
881	16928	2264
882	16953	2246
883	16977	2227
884	16994	2208
885	17011	2188
886	17028	2169
887	17045	2149
888	17062	2130
889	17083	2111
890	17100	2091
891	17117	2072
892	17134	2053
893	17152	2033
894	17173	2014
895	17191	1995
896	17207	1975
897	17225	1956
898	17243	1937
899	17261	1917
900	17280	1898
901	17300	1879
902	17317	1860
903	17335	1840
904	17353	1821
905	17375	1802
906	17400	1784
907	17414	1764
908	17432	1745
909	17448	1725
910	17467	1706
911	17485	1687
912	17510	1668
913	17538	1650
914	17557	1630
915	17577	1611
916	17599	1592
917	17618	1573
918	17634	1554
919	17651	1534
920	17668	1515
921	17688	1496
922	17709	1477
923	17726	1458
924	17743	1438
925	17761	1419
926	17781	1400
927	17814	1382
928	17832	1362
929	17850	1343
930	17868	1324
931	17889	1305
932	17906	1285
933	17925	1266
934	17943	1247
935	17960	1228
936	17978	1208
937	17995	1189
938	18014	1170
939	18031	1150
940	18052	1131
941	18069	1112
942	18086	1093
943	18103	1073
944	18121	1054
945	18140	1035
946	18157	1016
947	18175	996
948	18191	977
949	18209	958
950	18236	939
951	18256	920
952	18274	901
953	18291	881
954	18309	862
955	18332	843
956	18350	824
957	18369	805
958	18386	786
959	18405	766
960	18423	747
961	18444	728
962	18462	709
963	18478	690
964	18497	670
965	18518	651
966	18536	632
967	18554	613
968	18572	594
969	18590	574
970	18607	555
971	18625	536
972	18642	517
973	18669	498
974	18687	479
975	18705	459
976	18724	440
977	18742	421
978	18761	402
979	18779	383
980	18797	364
981	18816	344
982	18834	325
983	18852	306
984	18871	287
985	18887	268
986	18904	248
987	18921	229
988	18938	210
989	18957	191
990	18976	172
991	18994	153
992	19012	134
993	19028	114
994	19045	95
995	19063	76
996	19082	57
997	19100	38
998	19116	19
999	19135	0
