,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
28,2023-03-19,57442.873275429105,50590.2379381817,62414.61299329301,57155.20312510528,57748.92668507239,-619.9890894205691,-619.9890894205691,-619.9890894205691,-619.9890894205691,-619.9890894205691,-619.9890894205691,0.0,0.0,0.0,56822.88418600854
29,2023-03-26,57565.367871445786,50957.79518910045,63858.20869288465,57267.068220126246,57893.86587554434,-297.7009419178542,-297.7009419178542,-297.7009419178542,-297.7009419178542,-297.7009419178542,-297.7009419178542,0.0,0.0,0.0,57267.66692952793
30,2023-04-02,57687.86246746248,50982.91222559869,63324.46174090353,57366.00568416222,58030.17125043263,-250.38298255879528,-250.38298255879528,-250.38298255879528,-250.38298255879528,-250.38298255879528,-250.38298255879528,0.0,0.0,0.0,57437.479484903684
31,2023-04-09,57810.35706347914,51365.659641975355,63350.977545298054,57471.625974502014,58176.08003040673,-445.71227728245105,-445.71227728245105,-445.71227728245105,-445.71227728245105,-445.71227728245105,-445.71227728245105,0.0,0.0,0.0,57364.64478619669
32,2023-04-16,57932.85165949582,51187.780686460195,63301.92910631549,57569.94294969046,58318.109204417844,-671.0898668722164,-671.0898668722164,-671.0898668722164,-671.0898668722164,-671.0898668722164,-671.0898668722164,0.0,0.0,0.0,57261.761792623605
33,2023-04-23,58055.346255512515,50808.76132577508,63397.92610972432,57676.581692915315,58458.74765091561,-629.3127116198875,-629.3127116198875,-629.3127116198875,-629.3127116198875,-629.3127116198875,-629.3127116198875,0.0,0.0,0.0,57426.03354389263
34,2023-04-30,58177.84085152918,52088.17046709725,64308.290278421984,57779.610386850494,58603.389352304024,-161.0795868491759,-161.0795868491759,-161.0795868491759,-161.0795868491759,-161.0795868491759,-161.0795868491759,0.0,0.0,0.0,58016.761264680004
35,2023-05-07,58300.33544754587,52879.050234671355,65396.33313463261,57878.140346946966,58759.69656768033,561.2844930271422,561.2844930271422,561.2844930271422,561.2844930271422,561.2844930271422,561.2844930271422,0.0,0.0,0.0,58861.619940573015
36,2023-05-14,58422.83004356255,53574.598263558204,65408.89936511036,57990.48879336057,58910.92147784844,1099.574833718711,1099.574833718711,1099.574833718711,1099.574833718711,1099.574833718711,1099.574833718711,0.0,0.0,0.0,59522.40487728126
37,2023-05-21,58545.32463957923,53465.22245092922,65909.86363505982,58084.149414240455,59052.16548980452,1095.0505767911054,1095.0505767911054,1095.0505767911054,1095.0505767911054,1095.0505767911054,1095.0505767911054,0.0,0.0,0.0,59640.37521637033
38,2023-05-28,58667.81923559591,53360.41464176799,65464.409480573595,58179.575487517315,59196.57047014558,592.1198947819128,592.1198947819128,592.1198947819128,592.1198947819128,592.1198947819128,592.1198947819128,0.0,0.0,0.0,59259.939130377825
39,2023-06-04,58790.313831612584,52839.025803291515,64905.335193690706,58284.136071669935,59338.783636461565,-1.1450160443318753,-1.1450160443318753,-1.1450160443318753,-1.1450160443318753,-1.1450160443318753,-1.1450160443318753,0.0,0.0,0.0,58789.16881556825
40,2023-06-11,58912.808427629265,52149.233467945705,65092.23396954674,58389.39338804675,59480.45360046471,-300.2765465166648,-300.2765465166648,-300.2765465166648,-300.2765465166648,-300.2765465166648,-300.2765465166648,0.0,0.0,0.0,58612.5318811126
41,2023-06-18,59035.303023645945,52456.17856925055,65018.859180960826,58489.57935639077,59629.12134283385,-281.9736071314594,-281.9736071314594,-281.9736071314594,-281.9736071314594,-281.9736071314594,-281.9736071314594,0.0,0.0,0.0,58753.32941651448
42,2023-06-25,59157.797619662626,52659.4264328656,65228.031282728254,58591.88521054193,59784.787011021246,-222.38560473851607,-222.38560473851607,-222.38560473851607,-222.38560473851607,-222.38560473851607,-222.38560473851607,0.0,0.0,0.0,58935.41201492411
43,2023-07-02,59280.2922156793,52811.3688558518,65276.64579526768,58688.086959043365,59937.166157702704,-335.99410607629085,-335.99410607629085,-335.99410607629085,-335.99410607629085,-335.99410607629085,-335.99410607629085,0.0,0.0,0.0,58944.298109603005
44,2023-07-09,59402.786811695994,52803.10069853756,64767.799693409586,58795.38211901209,60077.93729204636,-546.6164412245506,-546.6164412245506,-546.6164412245506,-546.6164412245506,-546.6164412245506,-546.6164412245506,0.0,0.0,0.0,58856.170370471445
45,2023-07-16,59525.281407712675,52725.65687830214,65126.2108993186,58898.948087756726,60225.10904013387,-638.929145117952,-638.929145117952,-638.929145117952,-638.929145117952,-638.929145117952,-638.929145117952,0.0,0.0,0.0,58886.35226259472
46,2023-07-23,59647.77600372934,52614.039144980496,65015.05125261864,58997.90581526752,60373.00012634134,-563.6129269774298,-563.6129269774298,-563.6129269774298,-563.6129269774298,-563.6129269774298,-563.6129269774298,0.0,0.0,0.0,59084.16307675191
47,2023-07-30,59770.27059974603,52727.564481205445,65258.35462165035,59094.17052268041,60524.477332626986,-487.87948827835595,-487.87948827835595,-487.87948827835595,-487.87948827835595,-487.87948827835595,-487.87948827835595,0.0,0.0,0.0,59282.391111467674
48,2023-08-06,59892.76519576271,53101.38070422905,65632.9208922422,59193.27764592724,60671.730605693,-523.117320847103,-523.117320847103,-523.117320847103,-523.117320847103,-523.117320847103,-523.117320847103,0.0,0.0,0.0,59369.64787491561
49,2023-08-13,60015.25979177939,53369.77616086468,66025.83309519282,59294.85835211285,60824.95393209432,-496.3092653890178,-496.3092653890178,-496.3092653890178,-496.3092653890178,-496.3092653890178,-496.3092653890178,0.0,0.0,0.0,59518.95052639037
50,2023-08-20,60137.75438779606,53942.93290956387,65852.95215023079,59391.92775280515,60967.791667140045,-102.8120824179741,-102.8120824179741,-102.8120824179741,-102.8120824179741,-102.8120824179741,-102.8120824179741,0.0,0.0,0.0,60034.94230537809
51,2023-08-27,60260.248983812744,54696.32225154134,67245.97675631224,59491.31416868331,61110.25377506138,700.2915601743598,700.2915601743598,700.2915601743598,700.2915601743598,700.2915601743598,700.2915601743598,0.0,0.0,0.0,60960.5405439871
